"Date","CA","CAName","NewPositive","TotalCases","CrudeRatePositive","NewDeaths","TotalDeaths","CrudeRateDeaths","TotalNegative","CrudeRateNegative","date"
20220105,"S12000010","East Lothian",320,17823,16518.0722891566,0,143,132.530120481928,58216,53953.6607970343,2022-01-05
20220105,"S12000011","East Renfrewshire",347,21255,22126.7957526546,1,200,208.203206329377,51695,53815.3237559858,2022-01-05
20220105,"S12000013","Na h-Eileanan Siar",28,2096,7909.43396226415,0,23,86.7924528301887,12684,47864.1509433962,2022-01-05
20220105,"S12000014","Falkirk",522,31001,19308.0468360737,0,317,197.433981066268,86986,54176.6317887394,2022-01-05
20220105,"S12000017","Highland",500,26992,11464.9789746421,0,155,65.836979144544,127482,54148.5791955146,2022-01-05
20220105,"S12000018","Inverclyde",284,15290,19841.6818063846,0,175,227.095769530236,42103,54636.6467687516,2022-01-05
20220105,"S12000019","Midlothian",272,17389,18667.7402039721,0,187,200.751476113795,51485,55271.0681696189,2022-01-05
20220105,"S12000020","Moray",335,11712,12236.9658342911,0,47,49.1066764183471,48148,50306.1331104378,2022-01-05
20220105,"S12000021","North Ayrshire",379,25612,19077.8398510242,0,351,261.45251396648,66947,49867.4115456238,2022-01-05
20220105,"S12000023","Orkney Islands",49,1530,6830.35714285714,0,11,49.1071428571429,9728,43428.5714285714,2022-01-05
20220105,"S12000026","Scottish Borders",253,15591,13529.1565428671,0,155,134.501909059354,59586,51706.0048594238,2022-01-05
20220105,"S12000027","Shetland Islands",24,1462,6392.65413205072,0,11,48.0979449059904,12014,52531.7009182335,2022-01-05
20220105,"S12000028","South Ayrshire",311,19602,17479.9357945425,0,282,251.471375066881,59716,53251.2930265739,2022-01-05
20220105,"S12000029","South Lanarkshire",1232,71059,22149.1802256717,0,756,235.646156723396,170558,53163.1444423664,2022-01-05
20220105,"S12000030","Stirling",255,16604,17648.8095238095,1,154,163.690476190476,55437,58925.3826530612,2022-01-05
20220105,"S12000033","Aberdeen City",546,33351,14559.94062691,0,298,130.096917838121,132918,58027.5910241858,2022-01-05
20220105,"S12000034","Aberdeenshire",599,33699,12922.3866860956,0,253,97.0166423805507,130960,50218.5750440985,2022-01-05
20220105,"S12000035","Argyll and Bute",159,11262,13182.7226969449,0,95,111.202153810137,46921,54923.3290413204,2022-01-05
20220105,"S12000036","City of Edinburgh",1412,91840,17406.4667753307,0,746,141.389636480801,364874,69154.6946666161,2022-01-05
20220105,"S12000038","Renfrewshire",603,40724,22701.3768883438,0,458,255.309660516194,97558,54383.1874686437,2022-01-05
20220105,"S12000039","West Dunbartonshire",329,19989,22627.3488793299,0,224,253.565768621236,47804,54113.6517998642,2022-01-05
20220105,"S12000040","West Lothian",502,37029,20144.1627679251,0,332,180.611467740181,93731,50990.643020346,2022-01-05
20220105,"S12000041","Angus",252,16764,14474.1840787429,0,177,152.823346572267,58800,50768.4337765498,2022-01-05
20220105,"S12000042","Dundee City",338,29102,19555.1673162209,0,324,217.712673027819,78067,52457.3310038973,2022-01-05
20220105,"S12000045","East Dunbartonshire",332,23542,21647.816091954,0,228,209.655172413793,59598,54802.7586206897,2022-01-05
20220105,"S12000047","Fife",1067,64078,17127.2017747842,3,539,144.067570095956,204038,54536.6583807767,2022-01-05
20220105,"S12000048","Perth and Kinross",421,22033,14503.9826212889,0,274,180.369955894938,84863,55863.9984201172,2022-01-05
20220105,"S12000049","Glasgow City",2163,137982,21707.5703228242,0,1476,232.206909571456,369387,58112.6109118369,2022-01-05
20220105,"S12000050","North Lanarkshire",1382,82490,24180.6882804714,0,843,247.112622383772,172681,50618.8075277012,2022-01-05
20220106,"S12000005","Clackmannanshire",105,10639,20742.8348605966,1,120,233.963735620979,29715,57935.2700331449,2022-01-06
20220106,"S12000006","Dumfries and Galloway",268,21845,14731.2698091577,1,191,128.801672398678,77189,52052.7345067098,2022-01-06
20220106,"S12000008","East Ayrshire",185,25825,21237.6644736842,2,317,260.690789473684,61531,50601.1513157895,2022-01-06
20220106,"S12000010","East Lothian",250,18073,16749.7683039852,1,144,133.456904541242,58138,53881.3716404078,2022-01-06
20220106,"S12000011","East Renfrewshire",213,21468,22348.5321673954,0,200,208.203206329377,51597,53713.3041848844,2022-01-06
20220106,"S12000013","Na h-Eileanan Siar",47,2143,8086.79245283019,0,23,86.7924528301887,12726,48022.641509434,2022-01-06
20220106,"S12000014","Falkirk",292,31292,19489.2874937718,2,319,198.679621325361,86950,54154.2102640757,2022-01-06
20220106,"S12000017","Highland",454,27446,11657.81761033,0,155,65.836979144544,127632,54212.2924011383,2022-01-06
20220106,"S12000018","Inverclyde",141,15430,20023.3584220088,1,176,228.393459641838,42059,54579.5484038412,2022-01-06
20220106,"S12000019","Midlothian",245,17634,18930.7568438003,0,187,200.751476113795,51470,55254.9651100376,2022-01-06
20220106,"S12000020","Moray",202,11913,12446.9752376972,0,47,49.1066764183471,48194,50354.1949639536,2022-01-06
20220106,"S12000021","North Ayrshire",241,25852,19256.6108007449,0,351,261.45251396648,66838,49786.2197392924,2022-01-06
20220106,"S12000023","Orkney Islands",43,1572,7017.85714285714,0,11,49.1071428571429,9747,43513.3928571429,2022-01-06
20220106,"S12000026","Scottish Borders",176,15767,13681.8812912183,1,156,135.36966331135,59627,51741.5827837556,2022-01-06
20220106,"S12000027","Shetland Islands",41,1503,6571.92829033669,0,11,48.0979449059904,12064,52750.3279405334,2022-01-06
20220106,"S12000028","South Ayrshire",101,19703,17570.0017834849,1,283,252.363117531657,59652,53194.2215088283,2022-01-06
20220106,"S12000029","South Lanarkshire",675,71733,22359.2668786235,0,756,235.646156723396,170224,53059.036219687,2022-01-06
20220106,"S12000030","Stirling",140,16744,17797.619047619,0,154,163.690476190476,55482,58973.2142857143,2022-01-06
20220106,"S12000033","Aberdeen City",605,33956,14824.0635641317,0,298,130.096917838121,132947,58040.2514624989,2022-01-06
20220106,"S12000034","Aberdeenshire",588,34286,13147.480635018,0,253,97.0166423805507,131052,50253.8538231459,2022-01-06
20220106,"S12000035","Argyll and Bute",126,11388,13330.2118693667,1,96,112.372702797612,46927,54930.3523352452,2022-01-06
20220106,"S12000036","City of Edinburgh",1131,92967,17620.0674728024,4,750,142.147757856033,365051,69188.2415374702,2022-01-06
20220106,"S12000038","Renfrewshire",519,41243,22990.6906739506,0,459,255.86710518981,97234,54202.5753943921,2022-01-06
20220106,"S12000039","West Dunbartonshire",204,20192,22857.1428571429,0,224,253.565768621236,47630,53916.6855331673,2022-01-06
20220106,"S12000040","West Lothian",420,37449,20372.6471548254,0,332,180.611467740181,93691,50968.882602546,2022-01-06
20220106,"S12000041","Angus",206,16969,14651.1828699706,0,177,152.823346572267,58832,50796.0628561561,2022-01-06
20220106,"S12000042","Dundee City",311,29413,19764.1446042199,0,324,217.712673027819,78058,52451.2834296466,2022-01-06
20220106,"S12000045","East Dunbartonshire",280,23822,21905.2873563218,0,228,209.655172413793,59512,54723.6781609195,2022-01-06
20220106,"S12000047","Fife",733,64810,17322.8556918718,1,540,144.334856867934,204000,54526.5014834416,2022-01-06
20220106,"S12000048","Perth and Kinross",223,22256,14650.780067145,1,275,181.028240405503,84877,55873.2144032651,2022-01-06
20220106,"S12000049","Glasgow City",1324,139301,21915.0777169467,1,1476,232.206909571456,368820,58023.4094770625,2022-01-06
20220106,"S12000050","North Lanarkshire",844,83331,24427.2146332884,0,843,247.112622383772,172375,50529.108283989,2022-01-06
